"ToxPi Score","HClust Group","KMeans Group","Name","Source","Transmissible Cases!25!0xcc3333ff","Disease Spread!5!0xe05251ff","Population Mobility!10!0x57b757ff","Residential Density!10!0x70c970ff","Social Distancing!10!0x4258c9ff","Testing!10!0x5f73ddff","Population Demographics!10!0x6b0b9eff","Air Pollution!10!0x7e24aeff","Age Distribution!10!0x933fbfff","Comorbidities!10!0xa95ad2ff","Health Disparities!10!0xc177e7ff","Hospital Beds!5!0xdb95feff"
"0.3944826774407436","4","1","Virginia, Pittsylvania","-79.3973,36.8198","0.0716403363363355","0.07838273421624282","0.5569581822316854","0.419","0.6486486486486487","0.6549505098985919","0.49908603682501923","0.4251497005988024","0.6388951207196634","0.42533808429742603","0.44471497684049766","0.0"
"0.3351448547074516","4","1","Virginia, Powhatan","-77.9127,37.5502","0.1560268589533444","0.1324187078714245","0.5638725723226121","0.0334","0.7297297297297297","0.6549505098985919","0.4453607944363317","0.3592814371257485","0.5670390838965326","0.30219149227683545","0.07720856283769019","0.0"
"0.40504190959619746","4","1","Virginia, Pulaski","-80.7123,37.0647","0.06908222660188006","0.08769370218354343","0.6385012911920146","0.5753","0.7297297297297297","0.6549505098985919","0.32894189602659896","0.3592814371257485","0.6527643232093532","0.36665740859733026","0.34294125874505893","0.3948071956631389"
"0.3147201682496838","4","1","Virginia, Rappahannock","-78.1583,38.683","0.126711769112993","0.12657334600650974","0.49544427219697706","0.0019","0.45945945945945943","0.6549505098985919","0.40866187044184277","0.3173652694610779","0.7109436441933698","0.28187766172057704","0.22333331996341474","0.0"
"0.39702437775541444","4","1","Virginia, Richmond","-76.7292,37.9376","0.0","0.0","0.567435517428561","0.9341","0.45945945945945943","0.6549505098985919","0.6340948303871953","0.3233532934131737","0.6335581539925471","0.4165869167278286","0.33926604063532306","0.0"
"0.3603642393651489","4","1","Virginia, Roanoke","-80.064,37.2687","0.07849477589056374","0.08488544624813057","0.6897885319168477","0.2416","1.0","0.6549505098985919","0.38408006825487284","0.3053892215568862","0.626321192473144","0.28890068277865943","0.07484312233488465","0.0"
"0.33182528403342154","4","1","Virginia, Rockbridge","-79.4461,37.812","0.06572362651558289","0.06680172358351032","0.5512660333171167","0.079","0.6486486486486487","0.6549505098985919","0.37982338956574047","0.33532934131736525","0.7006109322771243","0.2913354647049995","0.3091418026074706","0.0"
"0.37777154100606397","4","1","Virginia, Rockingham","-78.8726,38.5101","0.06098446751968623","0.06736180145624954","0.6157834204500843","0.4339","0.7297297297297297","0.6549505098985919","0.4386446759590383","0.3532934131736527","0.5898852876912913","0.24148749068385691","0.262284550770088","0.43208622938425273"
"0.3885922107135435","4","1","Virginia, Russell","-82.101,36.9303","0.07231493279396246","0.11179564010995521","0.5917143151973938","0.2646","0.6486486486486487","0.6549505098985919","0.18258857697957315","0.38323353293413176","0.6189409155096902","0.5139816598769877","0.5457346315265528","0.4326493826156805"
"0.4230205178682951","4","1","Virginia, Scott","-82.6017,36.7147","0.13160126689378257","0.11729205575083414","0.5694409094697643","0.8262","0.6486486486486487","0.6549505098985919","0.1838140499896079","0.4251497005988024","0.6661358670949733","0.41918771648774766","0.5065798760556792","0.0"
